



L1_CACHE_SIZE:32 , L2_CACHE_SIZE:32 	(T:8,IN:0,BO:0)	(T:8,IN:0,BO:0)
================================

MODIFY	:  202	 	 TAG: 11001010(202)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:768 
READ	:   28	 	 TAG: 00011100( 28)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:767 
WRITE	:   15	 	 TAG: 00001111( 15)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:766 
READ	:  214	 	 TAG: 11010110(214)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:765 
WRITE	:   80	 	 TAG: 01010000( 80)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:764 
READ	:    8	 	 TAG: 00001000(  8)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:763 
MODIFY	:  151	 	 TAG: 10010111(151)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:762 
MODIFY	:   85	 	 TAG: 01010101( 85)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:761 
READ	:  212	 	 TAG: 11010100(212)			MISS:	CAPACITY	REPLACE:(250)		CYCLES:10 	AGE:705 
WRITE	:  237	 	 TAG: 11101101(237)			MISS:	CAPACITY	REPLACE:(106)		CYCLES:21 	AGE:704 
READ	:  113	 	 TAG: 01110001(113)			MISS:	CAPACITY	REPLACE:( 94)		CYCLES:10 	AGE:703 
WRITE	:   42	 	 TAG: 00101010( 42)			MISS:	CAPACITY	REPLACE:(242)		CYCLES:21 	AGE:702 
MODIFY	:    3	 	 TAG: 00000011(  3)			MISS:	CAPACITY	REPLACE:(177)		CYCLES:10 	AGE:701 
READ	:  204	 	 TAG: 11001100(204)			MISS:	CAPACITY	REPLACE:( 82)		CYCLES:10 	AGE:700 
MODIFY	:   79	 	 TAG: 01001111( 79)			MISS:	CAPACITY	REPLACE:( 48)		CYCLES:10 	AGE:699 
WRITE	:  188	 	 TAG: 10111100(188)			MISS:	CAPACITY	REPLACE:( 53)		CYCLES:21 	AGE:698 
MODIFY	:   59	 	 TAG: 00111011( 59)			MISS:	CAPACITY	REPLACE:(212)		CYCLES:10 	AGE:697 
WRITE	:  110	 	 TAG: 01101110(110)			MISS:	CAPACITY	REPLACE:(237)		CYCLES:21 	AGE:696 
READ	:  135	 	 TAG: 10000111(135)			MISS:	CAPACITY	REPLACE:(113)		CYCLES:10 	AGE:695 
WRITE	:  229	 	 TAG: 11100101(229)			MISS:	CAPACITY	REPLACE:( 42)		CYCLES:21 	AGE:694 
WRITE	:   32	 	 TAG: 00100000( 32)			MISS:	CAPACITY	REPLACE:(  3)		CYCLES:21 	AGE:693 
WRITE	:  248	 	 TAG: 11111000(248)			MISS:	CAPACITY	REPLACE:(204)		CYCLES:21 	AGE:692 
WRITE	:   96	 	 TAG: 01100000( 96)			MISS:	CAPACITY	REPLACE:( 79)		CYCLES:21 	AGE:691 
READ	:  210	 	 TAG: 11010010(210)			MISS:	CAPACITY	REPLACE:(188)		CYCLES:10 	AGE:690 
READ	:    1	 	 TAG: 00000001(  1)			MISS:	CAPACITY	REPLACE:( 59)		CYCLES:10 	AGE:689 
MODIFY	:   33	 	 TAG: 00100001( 33)			MISS:	CAPACITY	REPLACE:(110)		CYCLES:10 	AGE:688 
READ	:   51	 	 TAG: 00110011( 51)			MISS:	CAPACITY	REPLACE:(135)		CYCLES:10 	AGE:687 
READ	:  239	 	 TAG: 11101111(239)			MISS:	CAPACITY	REPLACE:(229)		CYCLES:10 	AGE:686 
READ	:  135	 	 TAG: 10000111(135)			MISS:	CAPACITY	REPLACE:( 32)		CYCLES:10 	AGE:685 
WRITE	:   16	 	 TAG: 00010000( 16)			MISS:	CAPACITY	REPLACE:(248)		CYCLES:21 	AGE:684 
READ	:  240	 	 TAG: 11110000(240)			MISS:	CAPACITY	REPLACE:( 96)		CYCLES:10 	AGE:683 
READ	:  239	 	 TAG: 11101111(239)			HIT										CYCLES:1 	AGE:686 
MODIFY	:  153	 	 TAG: 10011001(153)			MISS:	CAPACITY	REPLACE:(210)		CYCLES:10 	AGE:681 
MODIFY	:  189	 	 TAG: 10111101(189)			MISS:	CAPACITY	REPLACE:(  1)		CYCLES:10 	AGE:680 
WRITE	:  233	 	 TAG: 11101001(233)			MISS:	CAPACITY	REPLACE:( 33)		CYCLES:21 	AGE:679 
READ	:  118	 	 TAG: 01110110(118)			MISS:	CAPACITY	REPLACE:( 51)		CYCLES:10 	AGE:678 
MODIFY	:  209	 	 TAG: 11010001(209)			MISS:	CAPACITY	REPLACE:(239)		CYCLES:10 	AGE:677 
READ	:  236	 	 TAG: 11101100(236)			VICTIM_HIT								CYCLES:6 	AGE:685 
MODIFY	:   21	 	 TAG: 00010101( 21)			MISS:	CAPACITY	REPLACE:(135)		CYCLES:10 	AGE:675 
READ	:  128	 	 TAG: 10000000(128)			MISS:	CAPACITY	REPLACE:( 16)		CYCLES:10 	AGE:674 
MODIFY	:   43	 	 TAG: 00101011( 43)			MISS:	CAPACITY	REPLACE:(240)		CYCLES:10 	AGE:673 
WRITE	:   84	 	 TAG: 01010100( 84)			MISS:	CAPACITY	REPLACE:(153)		CYCLES:21 	AGE:672 
MODIFY	:  172	 	 TAG: 10101100(172)			MISS:	CAPACITY	REPLACE:(189)		CYCLES:10 	AGE:671 
READ	:  199	 	 TAG: 11000111(199)			MISS:	CAPACITY	REPLACE:(233)		CYCLES:10 	AGE:670 
MODIFY	:  224	 	 TAG: 11100000(224)			MISS:	CAPACITY	REPLACE:(118)		CYCLES:10 	AGE:669 
MODIFY	:   62	 	 TAG: 00111110( 62)			MISS:	CAPACITY	REPLACE:(209)		CYCLES:10 	AGE:668 
READ	:  209	 	 TAG: 11010001(209)			MISS:	CAPACITY	REPLACE:( 21)		CYCLES:10 	AGE:667 
READ	:  221	 	 TAG: 11011101(221)			MISS:	CAPACITY	REPLACE:(128)		CYCLES:10 	AGE:666 
WRITE	:   87	 	 TAG: 01010111( 87)			MISS:	CAPACITY	REPLACE:( 43)		CYCLES:21 	AGE:665 
MODIFY	:   27	 	 TAG: 00011011( 27)			MISS:	CAPACITY	REPLACE:( 84)		CYCLES:10 	AGE:664 
READ	:   49	 	 TAG: 00110001( 49)			MISS:	CAPACITY	REPLACE:(172)		CYCLES:10 	AGE:663 
WRITE	:  233	 	 TAG: 11101001(233)			VICTIM_HIT								CYCLES:20 	AGE:670 
READ	:  222	 	 TAG: 11011110(222)			MISS:	CAPACITY	REPLACE:(199)		CYCLES:10 	AGE:661 
MODIFY	:   49	 	 TAG: 00110001( 49)			HIT										CYCLES:1 	AGE:663 
MODIFY	:  201	 	 TAG: 11001001(201)			MISS:	CAPACITY	REPLACE:(224)		CYCLES:10 	AGE:659 
WRITE	:   41	 	 TAG: 00101001( 41)			MISS:	CAPACITY	REPLACE:( 62)		CYCLES:21 	AGE:658 
READ	:   99	 	 TAG: 01100011( 99)			MISS:	CAPACITY	REPLACE:(209)		CYCLES:10 	AGE:657 
MODIFY	:   26	 	 TAG: 00011010( 26)			MISS:	CAPACITY	REPLACE:(221)		CYCLES:10 	AGE:656 
MODIFY	:  223	 	 TAG: 11011111(223)			MISS:	CAPACITY	REPLACE:( 87)		CYCLES:10 	AGE:655 
WRITE	:   70	 	 TAG: 01000110( 70)			MISS:	CAPACITY	REPLACE:( 27)		CYCLES:21 	AGE:654 
MODIFY	:  159	 	 TAG: 10011111(159)			MISS:	CAPACITY	REPLACE:( 49)		CYCLES:10 	AGE:653 
MODIFY	:  153	 	 TAG: 10011001(153)			MISS:	CAPACITY	REPLACE:(222)		CYCLES:10 	AGE:652 
READ	:  120	 	 TAG: 01111000(120)			MISS:	CAPACITY	REPLACE:(201)		CYCLES:10 	AGE:651 
READ	:  155	 	 TAG: 10011011(155)			MISS:	CAPACITY	REPLACE:( 41)		CYCLES:10 	AGE:650 
WRITE	:    5	 	 TAG: 00000101(  5)			MISS:	CAPACITY	REPLACE:( 99)		CYCLES:21 	AGE:649 
WRITE	:  208	 	 TAG: 11010000(208)			MISS:	CAPACITY	REPLACE:( 26)		CYCLES:21 	AGE:648 
MODIFY	:  119	 	 TAG: 01110111(119)			MISS:	CAPACITY	REPLACE:(223)		CYCLES:10 	AGE:647 
READ	:   79	 	 TAG: 01001111( 79)			MISS:	CAPACITY	REPLACE:( 70)		CYCLES:10 	AGE:646 
MODIFY	:  137	 	 TAG: 10001001(137)			MISS:	CAPACITY	REPLACE:(159)		CYCLES:10 	AGE:645 
READ	:  168	 	 TAG: 10101000(168)			MISS:	CAPACITY	REPLACE:(153)		CYCLES:10 	AGE:644 
READ	:   28	 	 TAG: 00011100( 28)			MISS:	CAPACITY	REPLACE:(120)		CYCLES:10 	AGE:643 
WRITE	:  134	 	 TAG: 10000110(134)			MISS:	CAPACITY	REPLACE:(155)		CYCLES:21 	AGE:642 
WRITE	:   17	 	 TAG: 00010001( 17)			MISS:	CAPACITY	REPLACE:(  5)		CYCLES:21 	AGE:641 
WRITE	:  205	 	 TAG: 11001101(205)			MISS:	CAPACITY	REPLACE:(208)		CYCLES:21 	AGE:640 
WRITE	:   37	 	 TAG: 00100101( 37)			MISS:	CAPACITY	REPLACE:(119)		CYCLES:21 	AGE:639 
READ	:   86	 	 TAG: 01010110( 86)			MISS:	CAPACITY	REPLACE:( 79)		CYCLES:10 	AGE:638 
READ	:   34	 	 TAG: 00100010( 34)			MISS:	CAPACITY	REPLACE:(137)		CYCLES:10 	AGE:637 
WRITE	:   27	 	 TAG: 00011011( 27)			MISS:	CAPACITY	REPLACE:(168)		CYCLES:21 	AGE:636 
WRITE	:  229	 	 TAG: 11100101(229)			MISS:	CAPACITY	REPLACE:( 28)		CYCLES:21 	AGE:635 
WRITE	:  245	 	 TAG: 11110101(245)			MISS:	CAPACITY	REPLACE:(134)		CYCLES:21 	AGE:634 
READ	:   80	 	 TAG: 01010000( 80)			MISS:	CAPACITY	REPLACE:( 17)		CYCLES:10 	AGE:633 
READ	:   26	 	 TAG: 00011010( 26)			MISS:	CAPACITY	REPLACE:(205)		CYCLES:10 	AGE:632 
WRITE	:  107	 	 TAG: 01101011(107)			MISS:	CAPACITY	REPLACE:( 37)		CYCLES:21 	AGE:631 
READ	:  140	 	 TAG: 10001100(140)			MISS:	CAPACITY	REPLACE:( 86)		CYCLES:10 	AGE:630 
MODIFY	:  171	 	 TAG: 10101011(171)			MISS:	CAPACITY	REPLACE:( 34)		CYCLES:10 	AGE:629 
WRITE	:  131	 	 TAG: 10000011(131)			MISS:	CAPACITY	REPLACE:( 27)		CYCLES:21 	AGE:628 
MODIFY	:   30	 	 TAG: 00011110( 30)			MISS:	CAPACITY	REPLACE:(229)		CYCLES:10 	AGE:627 
MODIFY	:   26	 	 TAG: 00011010( 26)			HIT										CYCLES:1 	AGE:632 
READ	:  163	 	 TAG: 10100011(163)			MISS:	CAPACITY	REPLACE:(245)		CYCLES:10 	AGE:625 
WRITE	:  135	 	 TAG: 10000111(135)			MISS:	CAPACITY	REPLACE:( 80)		CYCLES:21 	AGE:624 
WRITE	:  181	 	 TAG: 10110101(181)			MISS:	CAPACITY	REPLACE:( 26)		CYCLES:21 	AGE:623 
MODIFY	:   89	 	 TAG: 01011001( 89)			MISS:	CAPACITY	REPLACE:(107)		CYCLES:10 	AGE:622 
MODIFY	:   86	 	 TAG: 01010110( 86)			MISS:	CAPACITY	REPLACE:(140)		CYCLES:10 	AGE:621 
READ	:   55	 	 TAG: 00110111( 55)			MISS:	CAPACITY	REPLACE:(171)		CYCLES:10 	AGE:620 
MODIFY	:  137	 	 TAG: 10001001(137)			MISS:	CAPACITY	REPLACE:(131)		CYCLES:10 	AGE:619 
READ	:   56	 	 TAG: 00111000( 56)			MISS:	CAPACITY	REPLACE:( 30)		CYCLES:10 	AGE:618 
MODIFY	:  246	 	 TAG: 11110110(246)			MISS:	CAPACITY	REPLACE:(163)		CYCLES:10 	AGE:617 
READ	:  150	 	 TAG: 10010110(150)			MISS:	CAPACITY	REPLACE:(135)		CYCLES:10 	AGE:616 
READ	:  229	 	 TAG: 11100101(229)			VICTIM_HIT								CYCLES:6 	AGE:623 
MODIFY	:   25	 	 TAG: 00011001( 25)			MISS:	CAPACITY	REPLACE:(181)		CYCLES:10 	AGE:614 
MODIFY	:    7	 	 TAG: 00000111(  7)			MISS:	CAPACITY	REPLACE:( 89)		CYCLES:10 	AGE:613 
MODIFY	:  184	 	 TAG: 10111000(184)			MISS:	CAPACITY	REPLACE:( 86)		CYCLES:10 	AGE:612 
READ	:  153	 	 TAG: 10011001(153)			MISS:	CAPACITY	REPLACE:( 55)		CYCLES:10 	AGE:611 
READ	:   42	 	 TAG: 00101010( 42)			MISS:	CAPACITY	REPLACE:(137)		CYCLES:10 	AGE:610 
MODIFY	:  168	 	 TAG: 10101000(168)			MISS:	CAPACITY	REPLACE:( 56)		CYCLES:10 	AGE:609 
MODIFY	:   28	 	 TAG: 00011100( 28)			MISS:	CAPACITY	REPLACE:(246)		CYCLES:10 	AGE:608 
WRITE	:   40	 	 TAG: 00101000( 40)			MISS:	CAPACITY	REPLACE:(150)		CYCLES:21 	AGE:607 
MODIFY	:   50	 	 TAG: 00110010( 50)			MISS:	CAPACITY	REPLACE:( 25)		CYCLES:10 	AGE:606 
WRITE	:  226	 	 TAG: 11100010(226)			MISS:	CAPACITY	REPLACE:(  7)		CYCLES:21 	AGE:605 
MODIFY	:   80	 	 TAG: 01010000( 80)			MISS:	CAPACITY	REPLACE:(184)		CYCLES:10 	AGE:604 
MODIFY	:   41	 	 TAG: 00101001( 41)			MISS:	CAPACITY	REPLACE:(153)		CYCLES:10 	AGE:603 
MODIFY	:  243	 	 TAG: 11110011(243)			MISS:	CAPACITY	REPLACE:( 42)		CYCLES:10 	AGE:602 
WRITE	:  232	 	 TAG: 11101000(232)			MISS:	CAPACITY	REPLACE:(168)		CYCLES:21 	AGE:601 
MODIFY	:   44	 	 TAG: 00101100( 44)			MISS:	CAPACITY	REPLACE:( 28)		CYCLES:10 	AGE:600 
MODIFY	:   10	 	 TAG: 00001010( 10)			MISS:	CAPACITY	REPLACE:( 40)		CYCLES:10 	AGE:599 
WRITE	:  246	 	 TAG: 11110110(246)			MISS:	CAPACITY	REPLACE:( 50)		CYCLES:21 	AGE:598 
WRITE	:  132	 	 TAG: 10000100(132)			MISS:	CAPACITY	REPLACE:(226)		CYCLES:21 	AGE:597 
WRITE	:  211	 	 TAG: 11010011(211)			MISS:	CAPACITY	REPLACE:( 80)		CYCLES:21 	AGE:596 
READ	:   45	 	 TAG: 00101101( 45)			MISS:	CAPACITY	REPLACE:( 41)		CYCLES:10 	AGE:595 
WRITE	:  143	 	 TAG: 10001111(143)			MISS:	CAPACITY	REPLACE:(243)		CYCLES:21 	AGE:594 
WRITE	:  165	 	 TAG: 10100101(165)			MISS:	CAPACITY	REPLACE:(232)		CYCLES:21 	AGE:593 
READ	:  158	 	 TAG: 10011110(158)			MISS:	CAPACITY	REPLACE:( 44)		CYCLES:10 	AGE:592 
WRITE	:  121	 	 TAG: 01111001(121)			MISS:	CAPACITY	REPLACE:( 10)		CYCLES:21 	AGE:591 
WRITE	:   66	 	 TAG: 01000010( 66)			MISS:	CAPACITY	REPLACE:(246)		CYCLES:21 	AGE:590 
MODIFY	:  154	 	 TAG: 10011010(154)			MISS:	CAPACITY	REPLACE:(132)		CYCLES:10 	AGE:589 
MODIFY	:  209	 	 TAG: 11010001(209)			MISS:	CAPACITY	REPLACE:(211)		CYCLES:10 	AGE:588 
READ	:   48	 	 TAG: 00110000( 48)			MISS:	CAPACITY	REPLACE:( 45)		CYCLES:10 	AGE:587 
READ	:  244	 	 TAG: 11110100(244)			MISS:	CAPACITY	REPLACE:(143)		CYCLES:10 	AGE:586 
WRITE	:  198	 	 TAG: 11000110(198)			MISS:	CAPACITY	REPLACE:(165)		CYCLES:21 	AGE:585 
READ	:   22	 	 TAG: 00010110( 22)			MISS:	CAPACITY	REPLACE:(158)		CYCLES:10 	AGE:584 
READ	:   31	 	 TAG: 00011111( 31)			MISS:	CAPACITY	REPLACE:(121)		CYCLES:10 	AGE:583 
READ	:  183	 	 TAG: 10110111(183)			MISS:	CAPACITY	REPLACE:( 66)		CYCLES:10 	AGE:582 
WRITE	:  167	 	 TAG: 10100111(167)			MISS:	CAPACITY	REPLACE:(154)		CYCLES:21 	AGE:581 
WRITE	:  110	 	 TAG: 01101110(110)			MISS:	CAPACITY	REPLACE:(209)		CYCLES:21 	AGE:580 
WRITE	:  149	 	 TAG: 10010101(149)			MISS:	CAPACITY	REPLACE:( 48)		CYCLES:21 	AGE:579 
READ	:   48	 	 TAG: 00110000( 48)			MISS:	CAPACITY	REPLACE:(244)		CYCLES:10 	AGE:578 
READ	:  222	 	 TAG: 11011110(222)			MISS:	CAPACITY	REPLACE:(198)		CYCLES:10 	AGE:577 
MODIFY	:   82	 	 TAG: 01010010( 82)			MISS:	CAPACITY	REPLACE:( 22)		CYCLES:10 	AGE:576 
MODIFY	:  170	 	 TAG: 10101010(170)			MISS:	CAPACITY	REPLACE:( 31)		CYCLES:10 	AGE:575 
MODIFY	:   19	 	 TAG: 00010011( 19)			MISS:	CAPACITY	REPLACE:(183)		CYCLES:10 	AGE:574 
WRITE	:   82	 	 TAG: 01010010( 82)			HIT										CYCLES:5 	AGE:573 
MODIFY	:  199	 	 TAG: 11000111(199)			MISS:	CAPACITY	REPLACE:(167)		CYCLES:10 	AGE:572 
READ	:  140	 	 TAG: 10001100(140)			MISS:	CAPACITY	REPLACE:(110)		CYCLES:10 	AGE:571 
READ	:  252	 	 TAG: 11111100(252)			MISS:	CAPACITY	REPLACE:(149)		CYCLES:10 	AGE:570 
WRITE	:   88	 	 TAG: 01011000( 88)			MISS:	CAPACITY	REPLACE:( 48)		CYCLES:21 	AGE:569 
WRITE	:   19	 	 TAG: 00010011( 19)			HIT										CYCLES:5 	AGE:568 
MODIFY	:  180	 	 TAG: 10110100(180)			MISS:	CAPACITY	REPLACE:(222)		CYCLES:10 	AGE:567 
MODIFY	:  179	 	 TAG: 10110011(179)			MISS:	CAPACITY	REPLACE:(170)		CYCLES:10 	AGE:566 
READ	:   97	 	 TAG: 01100001( 97)			MISS:	CAPACITY	REPLACE:( 82)		CYCLES:10 	AGE:565 
MODIFY	:  225	 	 TAG: 11100001(225)			MISS:	CAPACITY	REPLACE:(199)		CYCLES:10 	AGE:564 
READ	:  244	 	 TAG: 11110100(244)			MISS:	CAPACITY	REPLACE:(140)		CYCLES:10 	AGE:563 
WRITE	:    2	 	 TAG: 00000010(  2)			MISS:	CAPACITY	REPLACE:(252)		CYCLES:21 	AGE:562 
WRITE	:  161	 	 TAG: 10100001(161)			MISS:	CAPACITY	REPLACE:( 88)		CYCLES:21 	AGE:561 
READ	:  154	 	 TAG: 10011010(154)			MISS:	CAPACITY	REPLACE:( 19)		CYCLES:10 	AGE:560 
WRITE	:   99	 	 TAG: 01100011( 99)			MISS:	CAPACITY	REPLACE:(180)		CYCLES:21 	AGE:559 
READ	:   65	 	 TAG: 01000001( 65)			MISS:	CAPACITY	REPLACE:(179)		CYCLES:10 	AGE:558 
READ	:  220	 	 TAG: 11011100(220)			MISS:	CAPACITY	REPLACE:( 97)		CYCLES:10 	AGE:557 
MODIFY	:  212	 	 TAG: 11010100(212)			MISS:	CAPACITY	REPLACE:(225)		CYCLES:10 	AGE:556 
WRITE	:   43	 	 TAG: 00101011( 43)			MISS:	CAPACITY	REPLACE:(244)		CYCLES:21 	AGE:555 
